indv	poject	pop3code	population	genetic_region	latitude	longitude	color
LP6005441-DNA_B01	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01387	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01397	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
LP6005441-DNA_A01	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01388	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01381	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01382	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01383	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01384	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01385	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01386	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01398	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01399	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01396	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01403	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01404	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
HGDP01400	HGDP	ADR	Adygei in Caucasus, Russia	EUR	44	39	blue
NA19625	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19916	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19917	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19918	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19919	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19920	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19921	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19922	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19923	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19924	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19982	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19983	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19984	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20126	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20127	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20128	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20129	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20274	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20276	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20278	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
