indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096	0.006	0.0302	3e-04	6e-04	0.0064	0.0093	0.0093	0.015	-0.0023	-0.0024	0.0016	0.006	-2e-04	0.0021	0.0037	-0.0049	-0.0025	0.0041	-0.0053	0.0019
HG00097	0.0086	0.0093	0.003	-0.0017	-0.0025	4e-04	0.0069	0.0192	0.0031	0.0051	0.0088	-3e-04	0.0026	-0.0043	0.0032	-0.0109	-0.007	-6e-04	-0.0064	-0.0024
HG00099	0.0059	0.0287	-6e-04	0.0034	0.0091	0.0103	0.0064	0.0161	-0.0124	-0.005	-0.0021	-0.0111	0.0026	0.0049	6e-04	0.0179	0.0089	-0.0016	2e-04	0.01
HG00100	0.0053	0.0296	-9e-04	-0.0011	0.0061	-4e-04	-9e-04	0.0099	0.0088	-0.0142	-0.0091	0.0017	0.0077	-0.0014	-0.006	4e-04	0.0037	-0.0053	0.0052	9e-04
HG00101	0.0079	0.0274	-0.0011	0.0055	0.0142	0.0192	0.0137	0.027	-0.0137	0.0085	0.0114	-0.0145	-0.0031	0.0076	0.0033	0.011	-0.0022	0.002	-0.0096	0.0054
HG00102	0.0074	0.0134	0.0039	-0.0055	-0.0098	-0.0128	0.006	0.0139	0.0057	-0.0048	-0.0031	0.0041	0.0049	0.001	0.0027	0.0022	-0.0035	0.0051	-0.0016	-0.0043
HG00103	0.0047	0.034	0.0014	-0.0019	-1e-04	-0.0043	0.0175	0.0221	0.0033	0.0047	0.002	-0.0079	0.0051	0.0057	0.001	0.0036	-0.0032	0.0017	-0.0076	0.002
HG00105	0.0055	0.0274	4e-04	0.0031	0.0088	0.0058	-9e-04	-0.0011	0.0107	-0.0096	5e-04	0.0071	0.0011	0.0013	-0.0054	1e-04	6e-04	0.0047	-0.0072	-0.0023
HG00106	0.0041	0.0277	-9e-04	-0.0027	-0.0022	0.002	-7e-04	-0.0093	-0.0072	-0.0066	-0.0115	0.0046	0	0.0014	0.005	0.0055	0.0085	-9e-04	0.0052	-0.0018
HG00107	0.0049	0.0264	-4e-04	0.0043	0.0106	0.0082	0.0024	0.011	0.0015	-0.0042	0.0058	-6e-04	-0.0039	0.0022	-0.0085	-0.0024	0.006	-0.0022	-0.0052	-9e-04
HG00108	0.0045	0.0292	-7e-04	6e-04	0.0088	-0.0026	0.0058	0.0235	0.0103	-9e-04	0.0072	-0.0091	0.0035	0.0022	-0.0029	0.0024	-0.0068	-0.0029	-0.0122	-0.0103
HG00109	0.0095	0.0232	-0.0019	0.0076	0.0173	0.0184	0.0091	0.0129	-0.0051	0.0102	0.0069	-0.0185	-5e-04	0.0012	-0.0016	0.0098	0.0026	-0.0067	-0.0076	0.0107
HG00110	0.0053	0.0282	-2e-04	0.0021	0.0095	0.0037	0.0088	0.0171	0.0062	0.0036	0.005	-0.0091	-7e-04	0.0028	0.0036	0.0048	0.0036	8e-04	-0.0082	4e-04
HG00111	0.007	0.0288	5e-04	0.0016	0.0076	0.0098	0.0096	0.0131	4e-04	-0.0028	0.0034	0.0045	-0.0047	0.0023	0.0013	-0.001	-0.0017	0.0118	-0.0099	-0.0089
HG00112	0.009	0.0087	0.0019	1e-04	-0.004	0.0095	0.0077	8e-04	-0.0131	0.0038	9e-04	-0.0109	-0.0018	0.0016	0.0026	0.011	0.0011	0.0096	-0.0122	-0.0119
HG00113	0.0075	0.0121	0.0035	-0.0048	-0.0085	-0.0019	-0.0046	-0.0059	-0.0016	9e-04	0.0016	0.0053	4e-04	-0.0015	-0.0048	-0.0145	-0.0087	0.0014	7e-04	-0.0029
HG00114	0.0051	0.0317	5e-04	-3e-04	0.0055	0.0011	0.003	0.0017	-0.0025	-0.0046	-0.0018	0.0022	0.0027	5e-04	0.0029	0.0022	-0.0015	0.0011	-0.005	-0.0161
HG00115	0.0081	0.0256	-0.0026	0.0064	0.0163	0.0189	-0.0013	0.0035	-0.0068	-4e-04	0.0049	-0.0086	0.0029	0	-0.0073	0.0037	0.0103	-0.0125	1e-04	0.0173
HG00116	0.0028	0.0335	-7e-04	-0.0028	5e-04	-0.0062	0.0024	0.0168	0.005	-0.0048	-0.0016	-0.0062	0.0089	0.0069	0	0.0025	0	-0.0054	0.0017	0.0143
HG00117	0.0082	0.0139	0.0036	-0.0034	-0.0062	0.0018	0.0192	0.025	-0.008	0.0109	0.0079	-2e-04	-0.0029	0.0034	0.0073	-0.0089	-0.0101	0.0065	-0.0058	2e-04
HG00118	0.0045	0.0282	4e-04	6e-04	0.0064	0.0041	-7e-04	-0.0026	-0.0046	-0.0147	-0.0075	0.005	-6e-04	0.0053	-0.0034	0.0107	0.0066	0.0049	-0.003	-0.0128
HG00119	0.0059	0.0275	-0.0019	0.0056	0.0118	0.0266	0.0081	0.0068	-0.0177	-0.0065	0.0013	0.0052	-0.0018	0.0056	-0.0087	-0.0011	0.0051	0.001	-0.0048	0.0078
