indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096	-0.0096	-0.0216	0.0084	0.013	0.0013	-3e-04	0.0035	0.0107	-0.004	0.0112	-0.0115	-0.0029	-0.0022	2e-04	0.0029	-0.001	0.0028	0.0084	-0.0025	-0.0021
HG00097	-0.0086	-0.0211	0.0117	0.0047	0.0025	-0.0047	0.001	0.0051	0.0049	0.0045	0.0044	-1e-04	-0.0048	0.0076	0.0031	0.0012	0.0059	0.0035	-0.0056	-7e-04
HG00099	-0.0093	-0.0193	0.0163	0.0066	0.001	0.0023	0.0041	-0.0047	-0.0045	0.01	-0.0057	0	-0.0021	-0.0028	-0.0011	0	0.005	2e-04	0.0055	0.0015
HG00100	-0.0092	-0.0225	0.0141	0.0155	0.0017	0.0031	0.0057	-0.0135	6e-04	-0.0036	0.008	0.002	0.0024	0.0026	-4e-04	-0.0016	0.0054	-0.0034	-8e-04	0.0042
HG00101	-0.0099	-0.0237	0.0134	0.0104	5e-04	-0.0017	0.0029	0.0014	0.0015	-0.0039	-3e-04	0.0016	0.0035	0.0011	-6e-04	-3e-04	-0.0013	-0.0017	0.0045	0.0015
HG00102	-0.0095	-0.0243	0.0178	0.0111	0.0037	0.0014	0.0037	-0.007	0.0075	-0.0027	0.004	-0.0036	0.0025	0.0076	0.0027	0.0021	0.0069	-0.0014	-0.0035	-0.0015
HG00103	-0.0106	-0.0232	0.0182	0.0043	0.0028	-3e-04	9e-04	0.0032	0.0017	0.007	-0.0031	0.0019	-0.0022	0.0021	0.0017	0.001	0.0059	0.0017	3e-04	-0.0023
HG00105	-0.0095	-0.0255	0.0253	0.0078	0.0011	-0.0052	-0.0035	-0.0066	0.0084	-0.0047	0.0093	-0.0066	0.0034	0.007	0.0074	-4e-04	-3e-04	-0.0036	-0.0062	1e-04
HG00106	-0.0099	-0.0173	0.0125	0.0108	0.0025	-3e-04	0.0038	-0.0146	0.0039	4e-04	0.0076	2e-04	0.0028	0.002	3e-04	-0.0013	0.0059	-0.003	-0.0016	-6e-04
HG00107	-0.0078	-0.0255	0.0106	-0.0012	-3e-04	-0.0029	0	9e-04	0.0033	-0.0046	-0.0038	-0.0064	3e-04	0.0032	-6e-04	0.0022	-6e-04	-0.0046	-0.0034	-0.0029
HG00108	-0.0092	-0.0232	0.0123	0.0112	3e-04	-0.0057	0.0053	-0.0018	-0.003	-4e-04	-0.0013	0.0051	4e-04	-0.0022	-0.0049	0.0033	-0.0025	-6e-04	0.003	0.0024
HG00109	-0.0107	-0.0228	0.0168	0.0095	8e-04	-0.002	3e-04	-0.0018	0.0034	-0.001	8e-04	-0.0048	0.0065	0	0.0026	0.0012	0.002	-0.0013	-0.0025	-9e-04
HG00110	-0.0107	-0.0264	0.0129	0.007	-0.001	-0.002	0.0025	0.0021	-5e-04	0.001	-0.0028	4e-04	0.0026	-0.0011	-0.001	-0.0015	3e-04	0.0012	-0.0029	-4e-04
HG00111	-0.0081	-0.0182	0.0166	-0.0038	-0.0034	0.0013	-9e-04	-0.0052	0.0018	-0.0077	0.0057	-3e-04	0.0027	5e-04	-0.0014	0.0014	-0.0025	-0.004	0.0019	0.0056
HG00112	-0.0081	-0.0226	0.0149	0.0109	2e-04	-1e-04	1e-04	0.0087	-0.0063	0.0099	-0.0059	-0.0038	-0.0105	-0.0065	-0.0021	-8e-04	-0.0032	0.0015	-6e-04	0.0028
HG00113	-0.0105	-0.0232	0.0131	0.0024	0.0029	9e-04	-0.0018	0.0011	0.0106	-0.0045	0.0044	-0.0042	0.0057	0.0094	0.0051	1e-04	0.0011	0.002	-0.0035	-0.0049
HG00114	-0.0087	-0.0189	0.0116	0.0013	0.002	-0.0045	0.002	0.0012	-3e-04	0.0054	6e-04	-0.0015	-0.0033	0.0014	-0.0012	0.0019	-9e-04	0.0035	-0.0039	0
