indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00096	0.0069	0.0171	0.0299	0.0054	0.0036	-0.0103	-0.0071	0.0054	-0.0021	-0.0102	0.0044	0.0038	-0.0136	-0.009	0.0019	0.0056	0.006	0.0024	0.0174	0.0013
HG00097	0.0074	0.0173	-0.0146	-0.0096	-0.0189	-0.0133	-0.0024	0.0052	-0.0082	-0.0125	0.0039	0.0024	-0.0137	-0.0129	-0.005	0.0133	0.0025	0.0026	0.006	-0.0057
HG00099	0.0078	0.0178	0.0281	-0.002	0.0084	0.0098	-0.0098	-0.0016	0.0055	-0.0012	-0.0026	0.0014	-0.0091	-0.0061	0.004	0.001	0.0077	0.0042	0.0047	6e-04
HG00100	0.0096	0.014	0.0361	-0.0011	0.0105	-1e-04	0.004	-0.0064	0.0079	0.0082	-0.0045	0.004	0.0075	0.0047	-0.0014	-0.0083	0.0085	0.0027	-0.0087	-0.0075
HG00101	0.009	0.0117	0.0202	0.0036	0.0109	-0.0026	-0.0094	0.0083	-3e-04	-9e-04	-0.004	0.0015	0.0028	-0.0047	-0.0056	-0.0042	-0.001	-7e-04	0.0038	-0.0076
HG00102	0.0056	-0.0014	0.0054	-0.0377	-0.0027	-0.0057	0.0143	0.009	0	-0.0023	0.0078	-0.0097	0.0054	0.0082	0.002	-0.0064	-0.0092	-0.0042	-0.0068	0.0039
HG00103	0.0068	0.0236	-6e-04	0.0068	6e-04	0.0025	0.0013	0.0091	-0.0033	7e-04	-6e-04	0.0012	0.0088	-0.0038	-0.008	2e-04	-0.0013	0.0091	0.0044	-0.0033
HG00105	0.009	0.0236	0.0017	-0.0133	-0.0041	-0.0015	0.002	0.0065	-0.0066	-7e-04	-0.0023	0.0012	0.0082	-0.0036	-0.0014	0.006	-0.0143	-0.0069	-3e-04	2e-04
HG00106	0.0088	0.0135	-0.0134	-0.0387	-0.001	-8e-04	-0.0072	0.0253	-0.006	-0.0213	0.0133	-0.013	0.0153	-0.0107	-0.0204	0.0015	-0.0063	-0.0085	-0.0031	-0.0014
HG00107	0.0095	0.0067	0.0155	0.0022	0.0015	-0.0032	-0.006	0.0055	0.0025	-0.007	0.0024	-0.0046	-0.0025	-0.0069	-0.0029	0.0012	0.0078	0.0051	0.0025	-7e-04
