ID1	ID2	IBD_CM_SUM
HG00325	HG00379	5.063721
HG03352	HG03366	732.1064
HG01945	HG01976	6.043274
HG00171	HG00273	7.51004
HG00325	HG00330	7.449201
HG00171	HG00186	7.020126
HG00171	HG00334	21.94612
HG00325	HG00337	7.444885
HG00273	HG00274	5.973816
HG00759	HG01870	5.183205
NA20586	NA20783	11.61157
HG00349	HG00372	14.08112
HG00273	HG00346	12.12881
HG01577	NA19731	5.141174
HG01997	HG02425	10.72529
HG00282	HG00310	29.08475
HG03352	HG03485	5.567856
HG03246	HG03247	347.3112
HG01108	HG01325	28.7965
HG00323	HG00334	13.74606
HG01997	HG02002	31.04196
HG00325	HG00381	27.49127
HG01686	HG01708	5.021118
HG00282	HG00346	30.66223
HG00325	HG00369	58.36236
HG02595	HG03246	6.52121
HG00273	HG00330	17.95652
HG00171	HG00383	11.71354
HG00282	HG00376	18.0464
HG01811	HG02181	20.77807
HG00171	HG00320	7.411575
HG01375	HG01384	5.423721
HG01945	HG02292	13.8063
HG01989	HG02052	8.249901
NA21124	NA21143	17.97608
HG00323	HG00367	21.72654
HG01353	HG01375	31.38251
HG00325	HG00378	35.61951
HG01804	HG02386	6.131042
HG03836	HG03850	6.41227
HG02026	HG02032	7.181549
HG01804	HG02387	6.131042
HG00171	HG00369	12.05777
HG00171	HG00336	19.22172
HG00325	HG00382	23.30795
HG01398	HG01413	47.51204
HG01804	HG02408	16.24386
HG00282	HG00366	35.4276
HG00759	HG01812	5.910828
HG00743	HG01396	13.84993
HG01111	HG01176	30.02863
HG03836	HG03897	26.35557
HG01086	HG01412	12.67378
HG01353	HG01488	34.41028
HG01108	HG01323	5.519913
HG02642	HG02643	111.9581
HG03836	HG03886	15.11006
HG04026	HG04054	22.42333
HG01375	HG01455	7.483673
HG01125	HG01438	34.31644
HG00349	HG00351	13.62241
HG00349	HG00360	10.62572
HG01111	HG01414	23.28671
HG01086	HG01326	63.40392
HG00273	HG00358	13.19268
HG03135	NA20294	5.172821
HG03836	HG03837	5.877274
NA20760	NA20764	5.481216
HG03815	HG03824	9.969696
NA18923	NA19093	6.681656
HG02727	HG02792	42.93251
HG01125	HG01459	33.67047
HG01125	HG01148	20.06152
HG02642	HG02808	9.706711
HG00282	HG00342	19.20238
HG02727	HG03706	24.64914
HG01396	HG02299	5.567757
HG03870	HG04211	12.21233
HG00171	HG00319	12.48054
HG01111	HG01198	57.26236
NA20515	NA20752	5.095291
HG01149	HG01250	7.313934
HG01149	HG01375	6.009491
HG01086	HG01097	80.51498
HG00324	HG00325	38.03289
HG00282	HG00362	8.783966
NA20587	NA20757	5.791748
HG01149	HG01251	6.814819
HG00743	HG01173	48.81342
HG01164	HG01414	25.18154
HG02727	HG02778	48.38327
NA19818	NA20294	6.17218
HG01086	HG01182	19.80908
HG00743	HG01049	16.04261
HG01111	HG01248	25.2188
HG01142	HG01556	6.681183
HG00323	HG00382	37.23394
HG01108	HG01405	11.68774
HG01058	HG01079	36.27728
HG01353	HG01465	29.75994
HG00187	HG00269	23.88756
HG00187	HG00367	17.69046
HG01111	HG01402	41.4569
NA19746	NA19759	10.72958
HG00743	HG01326	90.18074
HG01142	HG01357	11.54056
HG01058	HG01325	37.21489
HG00171	HG00362	5.535797
HG01125	HG01269	19.09059
HG01602	HG01967	5.680115
HG00323	HG00378	11.52972
HG01086	HG01174	33.15092
HG02727	HG02790	29.25068
HG02727	HG02786	59.93823
HG01125	HG01447	58.21679
HG01086	HG01197	52.13492
HG01125	HG01455	29.42742
HG01149	HG01455	16.25975
HG02727	HG03019	34.87348
