indv	poject	pop3code	population	genetic_region	latitude	longitude	color
HG00124	1000 Genomes	GBR	British From England and Scotland	EUR	52.486243	-1.890401	blue
HG02046	1000 Genomes	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	10.78	106.68	green3
HG02363	1000 Genomes	CDX	Chinese Dai in Xishuangbanna, China	EAS	22	100.78	green3
HG02372	1000 Genomes	CDX	Chinese Dai in Xishuangbanna, China	EAS	22	100.78	green3
HG02377	1000 Genomes	CDX	Chinese Dai in Xishuangbanna, China	EAS	22	100.78	green3
HG02381	1000 Genomes	CDX	Chinese Dai in Xishuangbanna, China	EAS	22	100.78	green3
HG02387	1000 Genomes	CDX	Chinese Dai in Xishuangbanna, China	EAS	22	100.78	green3
HG02388	1000 Genomes	CDX	Chinese Dai in Xishuangbanna, China	EAS	22	100.78	green3
HG03715	1000 Genomes	ITU	Indian Telugu in the U.K.	CSA	52.486243	-2.890401	magenta
HG03948	1000 Genomes	STU	Sri Lankan Tamil in the UK	CSA	52.486243	-0.890401	magenta
NA12546	1000 Genomes	CEU	Utah Residents (CEPH) with Northern and Western European ancestry	EUR	40.767	-111.8904	blue	
NA12830	1000 Genomes	CEU	Utah Residents (CEPH) with Northern and Western European ancestry	EUR	40.767	-111.8904	blue
NA18874	1000 Genomes	YRI	Yoruba in Ibadan, Nigeria	AFR	7.4	3.92	orange
NA19311	1000 Genomes	LWK	Luhya in Webuye, Kenya	AFR	-1.27	36.61	orange
NA19313	1000 Genomes	LWK	Luhya in Webuye, Kenya	AFR	-1.27	36.61	orange
NA19985	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange	
NA20322	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20336	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20341	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20344	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA20526	1000 Genomes	TSI	Toscani in Italia	EUR	42.1	12	blue
NA20871	1000 Genomes	GIH	Gujarati Indians in Houston, Texas, USA	CSA	29.7589	-95.3677	magenta
NA20893	1000 Genomes	GIH	Gujarati Indians in Houston, Texas, USA	CSA	29.7589	-95.3677	magenta
NA20898	1000 Genomes	GIH	Gujarati Indians in Houston, Texas, USA	CSA	29.7589	-95.3677	magenta
NA19625	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19916	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19917	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19920	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
NA19921	1000 Genomes	ASW	African Ancestry in SW USA	AFR	35.483	-97.53333	orange
