Pop	Pop3code	Genetic_region	Project	Latitud	Longitud	Lambda	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C54	C55	C56
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	0.01	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	0.0215443469003188	NA	0.984848484848485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	0.0464158883361278	0.0454545454545455	0.106060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	0.1	0.0454545454545455	0.121212121212121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.818181818181818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	0.215443469003188	0.0757575757575758	0.121212121212121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.621212121212121	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	0.151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	0.464158883361278	0.121212121212121	0.0757575757575758	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	0.545454545454545	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	0.0151515151515152	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	0.106060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0454545454545455	NA	NA	NA	NA	NA	NA	0.0454545454545455
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	1	0.166666666666667	0.0454545454545455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.424242424242424	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	0.0454545454545455	NA	NA	0.106060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0606060606060606	NA	NA	NA	NA	NA	NA	0.121212121212121
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	10	0.46969696969697	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	0.121212121212121	NA	NA	NA	NA	0.0151515151515152	0.0151515151515152	NA	0.0757575757575758	NA	0.0151515151515152	NA	NA	NA	0.0151515151515152	0.0151515151515152	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	0.0757575757575758	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0454545454545455	NA	NA	NA	NA	NA	NA	0.0909090909090909
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	2.15443469003188	0.242424242424242	0.0151515151515152	0.0151515151515152	NA	NA	NA	0.0303030303030303	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	0.227272727272727	NA	NA	NA	0.0757575757575758	NA	NA	NA	NA	NA	NA	NA	0.0151515151515152	NA	NA	NA	0.0606060606060606	NA	NA	0.106060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.106060606060606	NA	NA	NA	NA	NA	NA	0.0909090909090909
African Ancestry in SW USA	ASW	AFR	1000 Genomes	35.483	-97.53333	4.64158883361278	0.378787878787879	NA	NA	NA	NA	NA	0.0454545454545455	NA	NA	0.0454545454545455	NA	NA	NA	NA	0.0151515151515152	0.0606060606060606	NA	NA	NA	0.0606060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0303030303030303	NA	0.0454545454545455	NA	NA	0.136363636363636	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0606060606060606	NA	NA	NA	NA	NA	NA	0.106060606060606
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	0.01	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	0.0215443469003188	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	0.0464158883361278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	0.215443469003188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	0.464158883361278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	1	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.979166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	10	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.947916666666667	NA	NA	NA	NA	0.0104166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0104166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0104166666666667	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	2.15443469003188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0104166666666667	0.979166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0104166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
African Caribbean in Barbados	ACB	AFR	1000 Genomes	13.1	-59.62	4.64158883361278	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.958333333333333	NA	NA	NA	NA	0.0104166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0104166666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	0.01	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	0.0215443469003188	NA	0.813953488372093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.186046511627907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	0.0464158883361278	NA	0.802325581395349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197674418604651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	0.1	NA	0.22093023255814	NA	NA	NA	NA	NA	NA	NA	NA	0.593023255813954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.186046511627907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	0.215443469003188	NA	0.325581395348837	NA	NA	NA	NA	NA	NA	NA	NA	0.511627906976744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0232558139534884	NA	0.13953488372093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	0.464158883361278	NA	0.197674418604651	NA	NA	NA	NA	NA	NA	NA	NA	0.476744186046512	0.0116279069767442	NA	NA	0.13953488372093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.151162790697674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0232558139534884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	1	NA	0.116279069767442	NA	NA	NA	NA	NA	NA	NA	NA	0.0930232558139535	NA	NA	NA	0.546511627906977	NA	NA	NA	0.0232558139534884	NA	NA	NA	NA	NA	NA	NA	NA	0.104651162790698	NA	NA	NA	0.0697674418604651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0348837209302326	NA	NA	NA	NA	0.0116279069767442	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	10	0.0232558139534884	NA	NA	0.0116279069767442	NA	0.0116279069767442	NA	NA	NA	NA	0.0116279069767442	NA	0.0581395348837209	NA	0.151162790697674	NA	0.511627906976744	NA	NA	NA	NA	NA	0.0697674418604651	0.0116279069767442	NA	NA	NA	0.0581395348837209	NA	NA	NA	0.0116279069767442	NA	NA	NA	NA	NA	0.0348837209302326	0.0116279069767442	0.0116279069767442	NA	NA	NA	NA	NA	0.0116279069767442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	2.15443469003188	NA	0.0116279069767442	0.0348837209302326	NA	NA	NA	NA	NA	NA	NA	0.0930232558139535	NA	0.0465116279069767	NA	0.546511627906977	NA	NA	NA	0.0581395348837209	NA	NA	NA	NA	NA	NA	NA	NA	0.104651162790698	NA	0.0116279069767442	NA	0.0697674418604651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0232558139534884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bengali in Bangladesh	BEB	CSA	1000 Genomes	23.7	90.35	4.64158883361278	NA	NA	0.0116279069767442	0.0116279069767442	NA	NA	NA	NA	NA	NA	0.0697674418604651	NA	0.0930232558139535	NA	0.569767441860465	NA	NA	NA	0.0232558139534884	NA	NA	NA	NA	NA	NA	NA	NA	0.0697674418604651	NA	NA	NA	0.0930232558139535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0581395348837209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British From England and Scotland	GBR	EUR	1000 Genomes	52.486243	-1.890401	0.01	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British From England and Scotland	GBR	EUR	1000 Genomes	52.486243	-1.890401	0.0215443469003188	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British From England and Scotland	GBR	EUR	1000 Genomes	52.486243	-1.890401	0.0464158883361278	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British From England and Scotland	GBR	EUR	1000 Genomes	52.486243	-1.890401	0.1	NA	0.989130434782609	NA	NA	NA	NA	NA	NA	NA	NA	0.0108695652173913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British From England and Scotland	GBR	EUR	1000 Genomes	52.486243	-1.890401	0.215443469003188	NA	0.989130434782609	NA	NA	NA	NA	NA	NA	NA	NA	0.0108695652173913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British From England and Scotland	GBR	EUR	1000 Genomes	52.486243	-1.890401	0.464158883361278	NA	0.989130434782609	NA	NA	NA	NA	NA	NA	NA	NA	0.0108695652173913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
