"lambda","value","metric","stability","mean","std","lower_range","upper_range"
0.01,0.996387129091133,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.996387129091133,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.996389861243258,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.992785439254144,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.996389861243258,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.994576661953721,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.990968262778374,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.994576661953721,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0.990975155366694,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,0,"ARI","Internal",1.48,0.502116731568678,1,2
0.01,1,"ARI","Internal",1.48,0.502116731568678,1,2
