"lambda","value","metric","stability","mean","std","lower_range","upper_range"
0.01,0.0124273225577979,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0124273225577979,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0123867040365107,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0232924535697661,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0123867040365107,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0176688905595341,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0283277089774628,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0176688905595341,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0273846412008931,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0406007035006556,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0504787868233071,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0406007035006556,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.031790347965034,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0531085559024003,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0362918613865461,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0462782634301356,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0362918613865461,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0272303340931226,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0490750407705018,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0179424681414737,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,NA,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0448028596905157,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0545837336983355,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0448028596905157,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.0362104170726263,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.057062622258521,"NID","Internal",1.48,0.502116731568678,1,2
0.01,1,"NID","Internal",1.48,0.502116731568678,1,2
0.01,0.00668323387105352,"NID","Internal",1.48,0.502116731568678,1,2
